UPC,Item,Description,Dept,Price,C/U,Case,5-Case
67465110385,840539,"1/4"" EASY CHOPPER NEMCO",315,265.92,0,0,0
7690390212,2110393,"10""HIHEAT SPATULA",211,11.23,0,0,0
2084204772,2910067,10/12 NATURAL PWDR 4/4#,291,17.39,4,63.95,63.95
75536551104,2140316,10IN CARBON STEEL CRS10,214,34.81,0,0,0
7783866499,71457,"11"" NONSLIP TRAY",119,8.4,0,0,0
81294400431,1190013,"11"" SS BAR SPOON",119,2.26,0,0,0
81164200153,771273,"11""WOOD UNDR LINR WINCO",321,7.46,0,0,0
76252907336,3260061,"12"" DKGRN RND FLR DECALS",326,20.04,0,0,0
7690390213,2110392,"13""HIGHHEAT SPATUL",211,12.24,0,0,0
8858600189,470633,14 HANDS CAB 750ML,47,9.45,12,0,0
78931304964,771484,"14"" NONSLIP TRAY",119,8.7,0,0,0
78931345831,771485,"16"" NONSLIP TRAY",119,10.89,0,0,0
7690302147,2110391,"16""HIHEAT SPATULA",211,13.28,0,0,0
7553680061,2140379,16OZ OVAL SERVER,214,16.97,0,0,0
80169885934,56874,"21"" BASTING FORK 1.5",321,4.21,0,0,0
80169885931,56875,"21"" SOLID BASTING SPOON",321,3.09,0,0,0
78931345851,60559,"27"" NONSLIP TRAY",119,21.61,6,129.66,129.66
8564940628,840628,2DOOR MERCHANDISER,313,"2,870.93",0,0,0
7553630020,2140372,3.5IN MINI SKILLET LMS3,214,7.44,0,0,0
8230330448,2730448,308BLK/D01,273,55,0,0,0
72787502062,1190015,3PC BAR SHAKER SET 28OZ,119,10.21,0,0,0
81099803670,23396,4 CUP CARRIER 75CT,257,11.26,4,42.02,42.02
2915230111,2740111,452471 WALKIN COMB O COOL,77,"10,236.10",0,0,0
76069500589,21018,4ACES DISH DET 1GL,219,9.71,4,34.11,34.11
76069513124,2190005,4ACES DISH DET 5GL GREEN,219,36.34,0,0,0
76098103154,771787,5 GAL WATER BOTTLE P83154,321,10.25,0,0,0
71941050024,2770019,5 HOUR ENRGY BERRY 2Z,277,37.1,0,0,0
7553680020,2140373,5IN C/I SKILLET,214,11.83,0,0,0
72787503082,60570,"6"" LOBSTER CRACKER",321,3.67,0,0,0
7553680150,2140374,6.5IN H/T SKILLET,214,14.85,0,0,0
71799640898,3210174,64Z STAINLESS WATR PITCHR,321,26.11,0,0,0
7800000161,17552,7-UP 20Z,44,26.82,0,0,0
7800000038,15528,7-UP 24PK,44,8.71,0,0,0
3755710871,14044,"7.5""WOOD STIRRER",114,7.78,10,60.88,60.88
7800001180,441933,7UP 2/12 12Z,44,4.55,2,9.1,9.1
7800001181,441934,7UP DIET 2/12 12Z,44,4.55,2,9.1,9.1
82219630148,771580,"8-1/2"" PL FL DRAIN",77,16.79,0,0,0
7553630050,2140375,8IN C/I SKILLET,214,16.19,0,0,0
68639097134,1170056,"9""PLULAMIN3SEC",117,16.45,0,0,0
7553630060,2140376,9IN C/I SKILLET,214,18.03,0,0,0
81001152310,2745022,9Z PET CUP 200CT,207,16.67,4,64.84,64.84
7800000187,16019,A&W ROOT BEER 24PK,44,8.58,0,0,0
7800005216,440456,A&W ROOTBEER 2/12 12Z,44,4.55,2,9.1,9.1
5440000002,31011,A-1 STEAK SAUCE 10Z,338,5.42,12,50.14,50.14
5440000001,28465,A-1 STEAK SAUCE 1GL,202,47.71,2,88.13,88.13
5440000003,31013,A-1 STEAK SAUCEF/S,338,4.19,24,69.07,69.07
76252904143,770682,A-7 MAX RM CAPCITY,326,6.63,0,0,0
871907528182,3160021,A-FRAME MINI EA,326,17.28,0,0,0
2800092116,28591,ABUELITA CHOC TAB 6 TABS,21,39.95,0,0,0
780051231,1070812,ACCENT SALT RETAIL,107,10.49,6,51.03,51.03
2941903873,61119,"ADAPTR BAR 12 5/8""",318,3.7,0,0,0
81294400287,61120,"ADAPTR BAR 20 1/4""",318,4.93,0,0,0
82219641139,840376,ADD ON 12IN SPT LL,316,63.56,0,0,0
81294400295,61136,"ADPT PLATE 2/8.5"" HOLES",318,14.34,0,0,0
2002722770,2260095,AEROSOL APPLE SCNT KLEENT,226,17.4,0,0,0
2202725233,2260099,AEROSOL DISPENSER KLEENT,226,27.31,0,0,0
81447301750,59842,AEROSOL LAVENDER 4CT,112,6.86,4,22.04,22.04
2002722767,2260096,AEROSOL LEMON SCNT KLEENT,226,17.4,0,0,0
81447301751,59840,AEROSOL OCEAN 4CT,112,6.86,4,22.36,22.36
81447301748,36241,AEROSOL STARTR KIT 1CT,112,9.77,4,39.08,39.08
81447301752,59841,AEROSOL VANILLA 4CT,112,6.63,4,21.61,21.61
8127988064,2510013,AGAVE SYRUP 64Z,251,17.81,6,93.32,93.32
2370052615,77788,AGROSPR PARTY WING FROZEN,285,36.83,4,142,142
78931317744,3210144,AIRPOT G/L 2.5 LITER,321,32.76,0,0,0
78931317734,3210075,AIRPOT GLASS VAC 2.2LTR,321,25.02,0,0,0
78931317804,3210145,AIRPOT S/S 2.5 LITER,321,43.62,0,0,0
3511014278,32485,AJAX CLNSRW/BLCH 21Z,225,2.4,24,31.64,31.64
3511047219,2190084,AJAX PRO DISH SOAP,219,11.6,4,43.41,43.41
457123690200,2870014,AJITSUKE INARI,287,8,10,75.08,75.08
